,id,full_name,first_name,last_name,is_active
3906,78307,Carlos Terry,Carlos,Terry,False
3907,78306,Chuck Terry,Chuck,Terry,False
3908,78308,Claude Terry,Claude,Terry,False
3909,1629150,Emanuel Terry,Emanuel,Terry,False
3910,1891,Jason Terry,Jason,Terry,False
3911,201934,Hasheem Thabeet,Hasheem,Thabeet,False
3912,78309,Tom Thacker,Tom,Thacker,False
3913,1628464,Daniel Theis,Daniel,Theis,True
3914,78310,Reggie Theus,Reggie,Theus,False
3915,78311,Peter Thibeaux,Peter,Thibeaux,False
3916,78312,Bill Thieben,Bill,Thieben,False
3917,78313,Justus Thigpen,Justus,Thigpen,False
3918,78314,David Thirdkill,David,Thirdkill,False
3919,203519,Adonis Thomas,Adonis,Thomas,False
3920,2873,Billy Thomas,Billy,Thomas,False
3921,1063,Carl Thomas,Carl,Thomas,False
3922,78316,Charles Thomas,Charles,Thomas,False
3923,2041,Etan Thomas,Etan,Thomas,False
3924,78317,Irving Thomas,Irving,Thomas,False
3925,202738,Isaiah Thomas,Isaiah,Thomas,True
3926,78318,Isiah Thomas,Isiah,Thomas,False
3927,1975,Jamel Thomas,Jamel,Thomas,False
3928,2839,James Thomas,James,Thomas,False
3929,78320,Jim Thomas,Jim,Thomas,False
3930,78321,Joe Thomas,Joe,Thomas,False
3931,1519,John Thomas,John,Thomas,False
3932,1903,Kenny Thomas,Kenny,Thomas,False
3933,1629017,Khyri Thomas,Khyri,Thomas,True
3934,703,Kurt Thomas,Kurt,Thomas,False
3935,202498,Lance Thomas,Lance,Thomas,False
3936,202952,Malcolm Thomas,Malcolm,Thomas,False
3937,1629744,Matt Thomas,Matt,Thomas,True
3938,78322,Terry Thomas,Terry,Thomas,False
3939,1501,Tim Thomas,Tim,Thomas,False
3940,200748,Tyrus Thomas,Tyrus,Thomas,False
3941,202717,Trey Thompkins,Trey,Thompkins,False
3942,78323,Bernard Thompson,Bernard,Thompson,False
3943,1631,Billy Thompson,Billy,Thompson,False
3944,240,Brooks Thompson,Brooks,Thompson,False
3945,78325,Corny Thompson,Corny,Thompson,False
3946,78326,David Thompson,David,Thompson,False
3947,101159,Dijon Thompson,Dijon,Thompson,False
3948,78327,George Thompson,George,Thompson,False
3949,203138,Hollis Thompson,Hollis,Thompson,False
3950,201574,Jason Thompson,Jason,Thompson,False
3951,78328,John Thompson,John,Thompson,False
3952,78329,Kevin Thompson,Kevin,Thompson,False
3953,202691,Klay Thompson,Klay,Thompson,True
3954,78,LaSalle Thompson,LaSalle,Thompson,False
3955,78331,Mychal Thompson,Mychal,Thompson,False
3956,202814,Mychel Thompson,Mychel,Thompson,False
3957,78332,Paul Thompson,Paul,Thompson,False
3958,78333,Stephen Thompson,Stephen,Thompson,False
3959,202684,Tristan Thompson,Tristan,Thompson,True
3960,78335,Rod Thorn,Rod,Thorn,False
3961,201154,Al Thornton,Al,Thornton,False
3962,738,Bob Thornton,Bob,Thornton,False
3963,201977,Marcus Thornton,Marcus,Thornton,False
3964,1628414,Sindarius Thornwell,Sindarius,Thornwell,False
3965,901,Otis Thorpe,Otis,Thorpe,False
3966,9,Sedale Threatt,Sedale,Threatt,False
3967,600001,Nate Thurmond,Nate,Thurmond,False
3968,78340,Mel Thurston,Mel,Thurston,False
3969,1629680,Matisse Thybulle,Matisse,Thybulle,True
3970,78341,Howard Tidrick,Howard,Tidrick,False
3971,78342,Dan Tieman,Dan,Tieman,False
3972,78343,Darren Tillis,Darren,Tillis,False
3973,78344,Jack Tingle,Jack,Tingle,False
3974,2224,Jamaal Tinsley,Jamaal,Tinsley,False
3975,47,Wayman Tisdale,Wayman,Tisdale,False
3976,1627861,Mike Tobey,Mike,Tobey,False
3977,78346,Marko Todorovich,Marko,Todorovich,False
3978,78348,Ray Tolbert,Ray,Tolbert,False
3979,78347,Tom Tolbert,Tom,Tolbert,False
3980,201229,Anthony Tolliver,Anthony,Tolliver,True
3981,78349,Dean Tolson,Dean,Tolson,False
3982,78350,Rudy Tomjanovich,Rudy,Tomjanovich,False
3983,78351,Andrew Toney,Andrew,Toney,False
3984,78352,Sedric Toney,Sedric,Toney,False
3985,78353,Andy Tonkovich,Andy,Tonkovich,False
3986,342,Andy Toolson,Andy,Toolson,False
3987,78355,Jack Toomay,Jack,Toomay,False
3988,78356,Bernard Toone,Bernard,Toone,False
3989,78357,Irv Torgoff,Irv,Torgoff,False
3990,78358,Gene Tormohlen,Gene,Tormohlen,False
3991,2351,Oscar Torres,Oscar,Torres,False
3992,78359,Bill Tosheff,Bill,Tosheff,False
3993,78360,Bob Tough,Bob,Tough,False
3994,1626253,Axel Toupane,Axel,Toupane,False
3995,78361,Monte Towe,Monte,Towe,False
3996,700,Keith Tower,Keith,Tower,False
3997,78363,William Towery,William,Towery,False
3998,78364,Linton Townes,Linton,Townes,False
3999,1626157,Karl-Anthony Towns,Karl-Anthony,Towns,True
4000,78365,Raymond Townsend,Raymond,Townsend,False
4001,78366,George Trapp,George,Trapp,False
4002,78367,John Trapp,John,Trapp,False
4003,1714,Robert Traylor,Robert,Traylor,False
4004,718,Gary Trent,Gary,Trent,False
4005,1629018,Gary Trent Jr.,Gary,Trent Jr.,True
4006,2244,Jeff Trepagnier,Jeff,Trepagnier,False
4007,78651,John Tresvant,John,Tresvant,False
4008,1629019,Allonzo Trier,Allonzo,Trier,True
4009,78368,Dick Triptow,Dick,Triptow,False
4010,78369,Kelly Tripucka,Kelly,Tripucka,False
4011,2456,Cezary Trybanski,Cezary,Trybanski,False
4012,2054,Jake Tsakalidis,Jake,Tsakalidis,False
4013,78370,John Tschogl,John,Tschogl,False
